Boro-Block-Lot,Scaled Ratiness,BBLID
1-00385-7501,0.1,1003857501
1-00386-0010,0.066666667,1003860010
1-00386-7501,0.066666667,1003867501
1-00389-7501,0.066666667,1003897501
1-00390-0020,0.066666667,1003900020
1-00390-7501,0.066666667,1003907501
1-00390-7502,0.066666667,1003907502
1-00391-0059,0.066666667,1003910059
1-00392-0037,#DIV/0!,1003920037
1-00392-7501,#DIV/0!,1003927501
1-00392-7502,#DIV/0!,1003927502
1-00393-0011,0.066666667,1003930011
1-00393-0019,#DIV/0!,1003930019
1-00393-7501,#DIV/0!,1003937501
1-00394-7502,0.066666667,1003947502
1-00394-7503,0.066666667,1003947503
1-00396-7501,0.2,1003967501
1-00397-0007,0.066666667,1003970007
1-00397-0063,#DIV/0!,1003970063
1-00397-7501,0.066666667,1003977501
1-00398-0015,#DIV/0!,1003980015
1-00398-0025,0.066666667,1003980025
1-00398-0026,0.066666667,1003980026
1-00398-0061,0.066666667,1003980061
1-00398-7501,0.066666667,1003987501
1-00399-7501,0.066666667,1003997501
1-00400-0001,#DIV/0!,1004000001
1-00402-0029,#DIV/0!,1004020029
1-00405-0013,#DIV/0!,1004050013
1-00405-0014,0.066666667,1004050014
1-00405-7503,0.066666667,1004057503
1-00405-7504,0.066666667,1004057504
1-00406-0008,0.066666667,1004060008
1-00406-0011,0.066666667,1004060011
1-00406-7501,#DIV/0!,1004067501
1-00407-0006,0.066666667,1004070006
1-00407-0026,3.066666667,1004070026
1-00407-0029,0.066666667,1004070029
1-00407-7501,0.066666667,1004077501
1-00407-7502,#DIV/0!,1004077502
1-00408-7501,0.1,1004087501
1-00410-0010,0.066666667,1004100010
1-00411-0075,#DIV/0!,1004110075
1-00411-7501,0.066666667,1004117501
1-00411-7502,0.1,1004117502
1-00411-7503,6.066666667,1004117503
1-00411-7504,0.2,1004117504
1-00413-7501,0.066666667,1004137501
1-00413-7502,0.066666667,1004137502
1-00414-0018,0.066666667,1004140018
1-00414-7501,0.066666667,1004147501
1-00416-7502,0.066666667,1004167502
1-00418-0032,0.066666667,1004180032
1-00418-7501,0.066666667,1004187501
1-00419-7501,3.066666667,1004197501
1-00420-0045,0.066666667,1004200045
1-00420-7501,#DIV/0!,1004207501
1-00421-0080,0.066666667,1004210080
1-00421-7502,0.066666667,1004217502
1-00422-0056,0.066666667,1004220056
1-00422-0057,0.066666667,1004220057
1-00422-7501,0.066666667,1004227501
1-00425-7501,0.066666667,1004257501
1-00425-7502,0.1,1004257502
1-00432-7501,0.066666667,1004327501
1-00434-7501,#DIV/0!,1004347501
1-00434-7504,0.066666667,1004347504
1-00437-0009,0.066666667,1004370009
1-00437-7502,#DIV/0!,1004377502
1-00438-7502,0.066666667,1004387502
1-00440-0027,0.066666667,1004400027
1-00440-0051,0.066666667,1004400051
1-00440-7502,0.066666667,1004407502
1-00440-7503,0.066666667,1004407503
1-00441-7501,#DIV/0!,1004417501
1-00441-7503,#DIV/0!,1004417503
1-00443-7502,0.066666667,1004437502
1-00444-7501,0.066666667,1004447501
1-00446-7501,0.066666667,1004467501
1-00446-7502,0.066666667,1004467502
1-00447-0051,0.066666667,1004470051
1-00447-7501,#DIV/0!,1004477501
1-00451-7502,0.066666667,1004517502
1-00453-7501,#DIV/0!,1004537501
1-00459-0029,#DIV/0!,1004590029
1-00459-7502,0.066666667,1004597502
1-00462-7501,0.066666667,1004627501
1-00463-7501,0.066666667,1004637501
1-00464-0036,0.066666667,1004640036
1-00464-0046,0.066666667,1004640046
1-00464-7501,0.066666667,1004647501
1-00464-7502,0.066666667,1004647502
1-00464-7503,#DIV/0!,1004647503
1-00465-7501,0.066666667,1004657501
1-00466-7501,0.066666667,1004667501
1-00468-0001,0.066666667,1004680001
1-00469-7501,0.066666667,1004697501
1-00469-7502,0.066666667,1004697502
1-00470-7501,1.266666667,1004707501
1-00472-7501,0.066666667,1004727501
1-00473-0028,0.066666667,1004730028
1-00473-0030,#DIV/0!,1004730030
1-00473-7501,#DIV/0!,1004737501
1-00473-7502,#DIV/0!,1004737502
1-00473-7503,3.066666667,1004737503
1-00474-7501,0.066666667,1004747501
1-00474-7504,0.066666667,1004747504
1-00474-7505,0.066666667,1004747505
1-00474-7506,3.066666667,1004747506
1-00475-7503,0.066666667,1004757503
1-00475-7505,0.066666667,1004757505
1-00475-7509,0.066666667,1004757509
1-00476-0088,0.066666667,1004760088
1-00477-0001,#DIV/0!,1004770001
1-00478-0027,0.066666667,1004780027
1-00478-7501,0.066666667,1004787501
1-00481-7502,0.066666667,1004817502
1-00482-7502,0.066666667,1004827502
1-00483-7502,0.066666667,1004837502
1-00485-7501,0.066666667,1004857501
1-00487-7501,0.066666667,1004877501
1-00488-0037,0.066666667,1004880037
1-00488-7501,0.066666667,1004887501
1-00488-7502,0.066666667,1004887502
1-00489-0001,0.066666667,1004890001
1-00489-0007,#DIV/0!,1004890007
1-00491-7503,0.2,1004917503
1-00492-7501,0.066666667,1004927501
1-00492-7502,0.066666667,1004927502
1-00492-7503,0.066666667,1004927503
1-00493-7501,0.2,1004937501
1-00494-7502,3.066666667,1004947502
1-00495-0026,0.066666667,1004950026
1-00495-0033,0.066666667,1004950033
1-00495-0041,0.066666667,1004950041
1-00497-7501,0.066666667,1004977501
1-00498-7501,0.1,1004987501
1-00499-7501,0.066666667,1004997501
1-00499-7502,0.066666667,1004997502
1-00499-7505,0.1,1004997505
1-00500-7501,0.066666667,1005007501
1-00500-7502,0.1,1005007502
1-00500-7505,0.066666667,1005007505
1-00500-7506,0.066666667,1005007506
1-00501-7501,0.066666667,1005017501
1-00502-0014,0.066666667,1005020014
1-00502-7501,0.066666667,1005027501
1-00507-0002,0.066666667,1005070002
1-00507-7501,0.066666667,1005077501
1-00508-0001,#DIV/0!,1005080001
1-00508-0014,0.066666667,1005080014
1-00508-0025,0.066666667,1005080025
1-00508-7501,0.1,1005087501
1-00508-7502,0.066666667,1005087502
1-00509-0027,#DIV/0!,1005090027
1-00510-7501,#DIV/0!,1005107501
1-00512-7501,0.066666667,1005127501
1-00512-7503,0.066666667,1005127503
1-00513-7503,0.066666667,1005137503
1-00514-7505,0.066666667,1005147505
1-00515-7501,0.1,1005157501
1-00515-7502,3.066666667,1005157502
1-00517-7501,0.066666667,1005177501
1-00518-7502,0.066666667,1005187502
1-00518-7504,0.066666667,1005187504
1-00519-0027,0.066666667,1005190027
1-00520-0051,0.066666667,1005200051
1-00520-7501,0.066666667,1005207501
1-00521-0013,0.066666667,1005210013
1-00521-0026,0.066666667,1005210026
1-00521-0045,0.066666667,1005210045
1-00521-7501,0.066666667,1005217501
1-00521-7502,0.066666667,1005217502
1-00521-7503,0.066666667,1005217503
1-00522-7501,0.066666667,1005227501
1-00525-7501,#DIV/0!,1005257501
1-00525-7502,0.066666667,1005257502
1-00525-7503,0.066666667,1005257503
1-00525-7506,0.1,1005257506
1-00528-0063,0.1,1005280063
1-00528-7501,0.1,1005287501
1-00528-7502,0.066666667,1005287502
1-00529-7502,0.066666667,1005297502
1-00529-7503,3.066666667,1005297503
1-00529-7504,3.066666667,1005297504
1-00529-7507,0.066666667,1005297507
1-00530-7502,0.066666667,1005307502
1-00530-7503,#DIV/0!,1005307503
1-00530-7505,0.1,1005307505
1-00531-7501,0.066666667,1005317501
1-00532-0025,0.066666667,1005320025
1-00535-7501,#DIV/0!,1005357501
1-00537-7502,0.066666667,1005377502
1-00540-7501,0.066666667,1005407501
1-00542-0036,0.066666667,1005420036
1-00542-0050,0.066666667,1005420050
1-00542-7501,#DIV/0!,1005427501
1-00542-7502,0.066666667,1005427502
1-00544-7501,#DIV/0!,1005447501
1-00544-7502,#DIV/0!,1005447502
1-00545-7502,0.066666667,1005457502
1-00545-7503,0.066666667,1005457503
1-00548-0001,3.066666667,1005480001
1-00548-0040,0.1,1005480040
1-00548-7501,0.066666667,1005487501
1-00552-7501,#DIV/0!,1005527501
1-00552-7504,0.1,1005527504
1-00556-7501,0.066666667,1005567501
1-00557-7501,0.1,1005577501
1-00558-0018,0.066666667,1005580018
1-00558-7501,0.066666667,1005587501
1-00558-7502,0.066666667,1005587502
1-00558-7503,0.066666667,1005587503
1-00559-7501,0.066666667,1005597501
1-00560-7501,0.066666667,1005607501
1-00560-7502,0.066666667,1005607502
1-00560-7503,0.066666667,1005607503
1-00561-7501,0.066666667,1005617501
1-00561-7502,0.2,1005617502
1-00563-0026,0.1,1005630026
1-00563-0043,0.066666667,1005630043
1-00563-7501,0.066666667,1005637501
1-00564-7501,0.066666667,1005647501
1-00569-7501,0.066666667,1005697501
1-00569-7502,0.066666667,1005697502
1-00569-7503,0.066666667,1005697503
1-00569-7504,0.066666667,1005697504
1-00571-7501,#DIV/0!,1005717501
1-00571-7503,0.066666667,1005717503
1-00571-7505,0.2,1005717505
1-00572-7501,0.066666667,1005727501
1-00572-7502,0.1,1005727502
1-00573-7502,0.066666667,1005737502
1-00574-0005,0.066666667,1005740005
1-00575-0011,0.066666667,1005750011
1-00575-7501,0.066666667,1005757501
1-00575-7502,0.1,1005757502
1-00576-7501,0.066666667,1005767501
1-00576-7502,0.066666667,1005767502
1-00576-7503,0.066666667,1005767503
1-00577-7502,0.066666667,1005777502
1-00577-7504,0.2,1005777504
1-00584-7501,0.066666667,1005847501
1-00585-0001,3.066666667,1005850001
1-00587-0007,1.266666667,1005870007
1-00587-0046,#DIV/0!,1005870046
1-00587-7501,1.266666667,1005877501
1-00588-0039,0.066666667,1005880039
1-00589-7501,0.066666667,1005897501
1-00590-0016,0.066666667,1005900016
1-00590-7502,0.066666667,1005907502
1-00592-0062,0.066666667,1005920062
1-00592-7501,0.066666667,1005927501
1-00593-7501,0.066666667,1005937501
1-00593-7502,0.1,1005937502
1-00594-7502,#DIV/0!,1005947502
1-00594-7503,0.066666667,1005947503
1-00594-7504,0.066666667,1005947504
1-00594-7505,0.066666667,1005947505
1-00594-7506,0.1,1005947506
1-00594-7508,0.1,1005947508
1-00594-7509,0.2,1005947509
1-00595-7502,0.066666667,1005957502
1-00595-7503,0.066666667,1005957503
1-00595-7504,6.066666667,1005957504
1-00597-7501,0.066666667,1005977501
1-00597-7502,#DIV/0!,1005977502
1-00601-7501,0.066666667,1006017501
1-00601-7502,0.066666667,1006017502
1-00602-7501,0.066666667,1006027501
1-00604-7501,0.066666667,1006047501
1-00608-7501,0.066666667,1006087501
1-00609-0053,3.066666667,1006090053
1-00609-7502,0.066666667,1006097502
1-00610-7501,0.066666667,1006107501
1-00612-0009,0.066666667,1006120009
1-00612-0018,0.066666667,1006120018
1-00612-0029,0.066666667,1006120029
1-00612-7501,0.066666667,1006127501
1-00612-7502,0.066666667,1006127502
1-00612-7503,#DIV/0!,1006127503
1-00612-7504,#DIV/0!,1006127504
1-00612-7505,0.2,1006127505
1-00616-7501,0.066666667,1006167501
1-00617-0032,0.066666667,1006170032
1-00618-0042,3.066666667,1006180042
1-00618-0046,#DIV/0!,1006180046
1-00618-7501,0.066666667,1006187501
1-00618-7503,0.066666667,1006187503
1-00618-7504,0.2,1006187504
1-00619-0026,0.066666667,1006190026
1-00619-0033,0.066666667,1006190033
1-00619-0067,0.066666667,1006190067
1-00619-0082,#DIV/0!,1006190082
1-00619-7502,0.066666667,1006197502
1-00620-0012,#DIV/0!,1006200012
1-00620-0068,#DIV/0!,1006200068
1-00620-7501,1.266666667,1006207501
1-00620-7502,0.066666667,1006207502
1-00621-0058,#DIV/0!,1006210058
1-00621-7503,0.1,1006217503
1-00622-0025,#DIV/0!,1006220025
1-00623-7501,0.066666667,1006237501
1-00624-7502,0.066666667,1006247502
1-00624-7503,0.066666667,1006247503
1-00624-7504,#DIV/0!,1006247504
1-00625-7501,0.066666667,1006257501
1-00626-0001,0.066666667,1006260001
1-00629-7501,0.066666667,1006297501
1-00629-7502,#DIV/0!,1006297502
1-00629-7503,0.066666667,1006297503
1-00629-7504,0.066666667,1006297504
1-00630-7502,0.066666667,1006307502
1-00631-7501,0.1,1006317501
1-00631-7502,0.066666667,1006317502
1-00632-7503,0.066666667,1006327503
1-00634-0016,0.066666667,1006340016
1-00634-0047,0.066666667,1006340047
1-00635-0026,0.066666667,1006350026
1-00635-7501,0.1,1006357501
1-00636-7501,0.066666667,1006367501
1-00636-7502,0.1,1006367502
1-00637-7501,0.066666667,1006377501
1-00637-7502,0.066666667,1006377502
1-00637-7504,#DIV/0!,1006377504
1-00637-7505,0.066666667,1006377505
1-00637-7508,0.2,1006377508
1-00638-7501,0.066666667,1006387501
1-00638-7502,0.066666667,1006387502
1-00640-7501,0.066666667,1006407501
1-00641-0017,0.066666667,1006410017
1-00641-0044,0.066666667,1006410044
1-00641-0063,0.066666667,1006410063
1-00641-7501,0.066666667,1006417501
1-00641-7503,0.2,1006417503
1-00642-0012,0.066666667,1006420012
1-00642-7502,0.066666667,1006427502
